Elapsed_Time_s,Timestamp,T1_C,T2_C,Skew_ms,Delta_T_C
57.201,2026-03-06T12:08:28.576172,-9.4141,-9.2031,0.854,-0.2109
57.438,2026-03-06T12:08:28.813487,-9.4219,-9.2031,0.854,-0.2188
57.679,2026-03-06T12:08:29.054749,-9.4219,-9.2109,0.854,-0.2109
57.916,2026-03-06T12:08:29.291721,-9.4141,-9.2031,0.854,-0.2109
58.136,2026-03-06T12:08:29.511449,-9.4219,-9.2031,0.854,-0.2188
58.377,2026-03-06T12:08:29.752905,-9.4219,-9.2031,0.854,-0.2188
58.615,2026-03-06T12:08:29.990481,-9.4063,-9.1953,0.855,-0.2109
58.858,2026-03-06T12:08:30.233904,-9.4141,-9.2031,0.854,-0.2109
59.096,2026-03-06T12:08:30.471943,-9.4141,-9.2031,0.824,-0.2109
59.311,2026-03-06T12:08:30.686639,-9.4141,-9.2031,0.854,-0.2109
59.550,2026-03-06T12:08:30.926023,-9.4141,-9.2031,0.855,-0.2109
59.788,2026-03-06T12:08:31.163169,-9.4141,-9.1953,0.854,-0.2188
60.025,2026-03-06T12:08:31.400794,-9.4141,-9.1953,0.854,-0.2188
60.266,2026-03-06T12:08:31.641212,-9.4141,-9.2031,0.854,-0.2109
60.490,2026-03-06T12:08:31.866003,-9.4141,-9.2031,0.854,-0.2109
60.738,2026-03-06T12:08:32.113116,-9.4141,-9.2031,0.854,-0.2109
60.972,2026-03-06T12:08:32.347810,-9.4141,-9.1953,0.885,-0.2188
61.209,2026-03-06T12:08:32.584865,-9.4141,-9.2031,0.854,-0.2109
61.452,2026-03-06T12:08:32.827551,-9.4063,-9.2031,0.854,-0.2031
61.678,2026-03-06T12:08:33.053633,-9.4063,-9.1953,0.854,-0.2109
61.914,2026-03-06T12:08:33.289911,-9.4141,-9.1953,0.885,-0.2188
62.152,2026-03-06T12:08:33.527304,-9.4141,-9.1953,0.854,-0.2188
62.397,2026-03-06T12:08:33.772872,-9.4141,-9.2031,0.854,-0.2109
62.626,2026-03-06T12:08:34.001672,-9.4063,-9.1953,0.854,-0.2109
62.846,2026-03-06T12:08:34.221372,-9.3984,-9.2031,0.854,-0.1953
63.083,2026-03-06T12:08:34.459045,-9.4063,-9.2031,0.854,-0.2031
63.322,2026-03-06T12:08:34.697478,-9.4063,-9.1953,0.854,-0.2109
63.562,2026-03-06T12:08:34.937592,-9.4063,-9.2031,0.854,-0.2031
63.800,2026-03-06T12:08:35.175859,-9.4063,-9.2031,0.854,-0.2031
64.021,2026-03-06T12:08:35.396450,-9.4063,-9.1953,0.885,-0.2109
64.271,2026-03-06T12:08:35.646827,-9.4063,-9.1953,0.854,-0.2109
64.506,2026-03-06T12:08:35.881638,-9.4063,-9.1953,0.854,-0.2109
64.747,2026-03-06T12:08:36.123059,-9.4063,-9.1953,0.824,-0.2109
64.986,2026-03-06T12:08:36.362004,-9.4063,-9.1953,0.854,-0.2109
65.206,2026-03-06T12:08:36.581680,-9.4063,-9.1953,0.885,-0.2109
65.444,2026-03-06T12:08:36.819779,-9.4063,-9.1953,0.854,-0.2109
65.687,2026-03-06T12:08:37.062279,-9.3984,-9.1953,0.854,-0.2031
65.924,2026-03-06T12:08:37.299659,-9.4063,-9.1953,0.854,-0.2109
66.169,2026-03-06T12:08:37.545007,-9.4063,-9.1953,0.854,-0.2109
66.389,2026-03-06T12:08:37.764376,-9.4063,-9.1875,0.854,-0.2188
66.625,2026-03-06T12:08:38.000905,-9.3984,-9.1953,0.854,-0.2031
66.862,2026-03-06T12:08:38.237948,-9.3984,-9.1875,1.251,-0.2109
67.106,2026-03-06T12:08:38.481849,-9.4063,-9.1953,0.854,-0.2109
67.344,2026-03-06T12:08:38.719298,-9.3984,-9.1953,0.854,-0.2031
67.564,2026-03-06T12:08:38.939126,-9.4063,-9.1953,0.854,-0.2109
67.813,2026-03-06T12:08:39.188567,-9.3984,-9.1953,0.854,-0.2031
68.048,2026-03-06T12:08:39.423773,-9.3984,-9.1953,0.854,-0.2031
68.285,2026-03-06T12:08:39.660891,-9.3984,-9.1953,0.854,-0.2031
68.522,2026-03-06T12:08:39.897457,-9.3984,-9.1953,0.854,-0.2031
68.742,2026-03-06T12:08:40.117818,-9.3984,-9.1953,0.854,-0.2031
68.980,2026-03-06T12:08:40.355347,-9.3984,-9.1953,0.854,-0.2031
69.224,2026-03-06T12:08:40.599303,-9.3984,-9.1875,0.854,-0.2109
69.465,2026-03-06T12:08:40.840721,-9.3984,-9.1953,0.854,-0.2031
69.715,2026-03-06T12:08:41.090810,-9.3984,-9.1953,0.824,-0.2031
69.935,2026-03-06T12:08:41.311027,-9.3906,-9.1953,0.854,-0.1953
70.164,2026-03-06T12:08:41.539295,-9.3984,-9.1953,0.824,-0.2031
70.403,2026-03-06T12:08:41.778265,-9.3984,-9.1953,0.854,-0.2031
70.641,2026-03-06T12:08:42.016380,-9.3984,-9.1953,0.854,-0.2031
70.878,2026-03-06T12:08:42.254019,-9.3984,-9.1953,0.855,-0.2031
71.098,2026-03-06T12:08:42.473267,-9.3906,-9.1875,0.854,-0.2031
71.349,2026-03-06T12:08:42.724490,-9.3906,-9.1875,0.854,-0.2031
71.578,2026-03-06T12:08:42.953620,-9.3984,-9.1953,0.854,-0.2031
71.815,2026-03-06T12:08:43.190620,-9.3906,-9.1953,0.824,-0.1953
72.060,2026-03-06T12:08:43.435511,-9.3984,-9.1875,0.824,-0.2109
72.282,2026-03-06T12:08:43.657882,-9.3906,-9.1953,0.854,-0.1953
72.521,2026-03-06T12:08:43.896537,-9.3984,-9.1875,0.854,-0.2109
72.761,2026-03-06T12:08:44.136640,-9.3984,-9.1953,0.854,-0.2031
73.002,2026-03-06T12:08:44.377752,-9.4063,-9.1953,0.854,-0.2109
73.254,2026-03-06T12:08:44.629168,-9.3906,-9.1953,0.854,-0.1953
73.475,2026-03-06T12:08:44.851084,-9.3906,-9.1875,0.854,-0.2031
73.711,2026-03-06T12:08:45.086413,-9.3984,-9.1953,0.854,-0.2031
73.942,2026-03-06T12:08:45.317846,-9.3984,-9.1953,0.854,-0.2031
74.185,2026-03-06T12:08:45.560420,-9.3906,-9.1953,1.282,-0.1953
74.428,2026-03-06T12:08:45.803374,-9.3906,-9.1953,0.854,-0.1953
74.648,2026-03-06T12:08:46.024048,-9.3984,-9.1953,0.854,-0.2031
74.889,2026-03-06T12:08:46.264483,-9.3984,-9.1875,0.824,-0.2109
75.129,2026-03-06T12:08:46.504592,-9.3906,-9.1875,0.824,-0.2031
75.372,2026-03-06T12:08:46.747369,-9.3984,-9.1875,0.824,-0.2109
75.603,2026-03-06T12:08:46.978517,-9.3984,-9.1875,0.854,-0.2109
75.823,2026-03-06T12:08:47.198959,-9.3906,-9.1875,0.854,-0.2031
76.067,2026-03-06T12:08:47.442110,-9.3984,-9.1875,0.854,-0.2109
76.310,2026-03-06T12:08:47.685392,-9.3906,-9.1953,0.854,-0.1953
76.548,2026-03-06T12:08:47.923652,-9.3984,-9.1953,0.854,-0.2031
76.790,2026-03-06T12:08:48.165696,-9.3984,-9.1953,0.824,-0.2031
77.010,2026-03-06T12:08:48.385500,-9.3906,-9.1875,0.854,-0.2031
77.259,2026-03-06T12:08:48.635035,-9.3906,-9.1875,0.854,-0.2031
